"Title","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney."
"The Hollywood Masters","","7.3/10","44/100",1,0,0,0
"Nature's Weirdest Events","all","6.9/10","44/100",1,0,0,0
"Dragon Pilot: Hisone and Masotan","16+","6.9/10","44/100",1,0,0,0
"Talking Tom and Friends","7+","6.3/10","44/100",1,0,0,0
"Twice Upon a Time","","6.2/10","44/100",1,0,0,0
"The Liar and His Lover","","6.9/10","44/100",1,0,0,0
"Coach Snoop","all","6.9/10","44/100",1,0,0,0
"Hero Mask","16+","6.2/10","44/100",1,0,0,0
"Emily's Wonder Lab","all","8.6/10","44/100",1,0,0,0
"The Ghost Bride","18+","6.0/10","44/100",1,0,0,0
"West Coast Customs","","6.0/10","44/100",1,0,1,0
"Chief of Staff","16+","7.9/10","44/100",1,0,0,0
"Pup Academy","","6.6/10","44/100",1,0,0,0
"Three Days of Christmas","18+","6.8/10","44/100",1,0,0,0
"Homemade","16+","6.0/10","44/100",1,0,0,0
"Ingress: The Animation","all","6.6/10","44/100",1,0,0,0
"Exhibit A","18+","6.2/10","44/100",1,0,1,0
"Apache: La vida de Carlos Tevez","18+","7.9/10","44/100",1,0,0,0
"Home: Adventures with Tip & Oh","7+","6.0/10","43/100",1,0,0,0
"Hotel Transylvania","7+","5.5/10","43/100",1,0,0,0
"A Little Help with Carol Burnett","","6.2/10","43/100",1,0,0,0
"The Garden of Heaven","16+","8.7/10","43/100",1,0,0,0
"Julie's Greenroom","","8.4/10","43/100",1,0,0,0
"Barbie Dreamhouse Adventures","all","6.8/10","43/100",1,0,0,0
"Hidden Worlds","all","7.2/10","43/100",1,0,0,0
"A Boy Named Flora A","18+","7.8/10","43/100",1,0,0,0
"My Sassy Girl","","6.9/10","43/100",1,0,0,0
"The Idhun Chronicles","16+","5.4/10","43/100",1,0,0,0
"Larva Island","","6.5/10","43/100",1,0,0,0
"44 Cats","7+","6.1/10","43/100",1,0,0,0
"Refresh Man","","7.7/10","43/100",1,0,0,0
"Battlefish","","7.1/10","43/100",1,0,0,0
"Maradona in Mexico","","7.2/10","43/100",1,0,0,0
"72 Dangerous Places to Live","18+","6.2/10","43/100",1,0,0,0
"Drug Squad: Costa del Sol","","6.8/10","43/100",1,0,0,0
"Turbo FAST","7+","6.5/10","43/100",1,0,0,0
"The Forest of Love: Deep Cut","","6.8/10","43/100",1,0,0,0
"Abla Fahita: Drama Queen","","6.6/10","43/100",1,0,0,0
"Legend Quest","7+","7.4/10","43/100",1,0,0,0
"Korean Pork Belly Rhapsody","","","43/100",1,0,0,0
"Nuevo rico, nuevo pobre","","7.1/10","43/100",1,0,0,0
"Tattoo Redo","","5.1/10","43/100",1,0,0,0
"Dinosaur King","7+","5.7/10","43/100",1,0,0,0
"Once Upon a Time in Lingjian Mountain","all","7.7/10","43/100",1,0,0,0
"On Children","","7.5/10","43/100",1,0,0,0
"The Prince Who Turns into a Frog","","7.0/10","43/100",1,0,0,0
"Take My Brother Away","all","7.1/10","43/100",1,0,0,0
"Juman","","5.4/10","43/100",1,0,0,0
"The Rap Game","7+","5.7/10","43/100",1,0,0,0
"Basketball or Nothing","7+","7.5/10","43/100",1,0,0,0
"Go! Go! Cory Carson","all","8.1/10","43/100",1,0,0,0
"Mother Goose Club","","7.4/10","43/100",1,0,0,0
"Tiffany Haddish Presents: They Ready","","6.3/10","43/100",1,0,0,0
"Possessed","","6.9/10","43/100",1,0,1,0
"Someone Like You","","8.0/10","43/100",1,0,0,0
"Little Singham","","3.6/10","43/100",1,0,0,0
"Off Camera with Sam Jones","","8.4/10","43/100",1,0,0,0
"Super Monsters","all","6.5/10","43/100",1,0,0,0
"How to Ruin Christmas: The Wedding","18+","6.2/10","43/100",1,0,0,0
"ReBoot: The Guardian Code","7+","3.8/10","43/100",1,0,0,0
"Engineering Girls","","7.0/10","43/100",1,0,0,0
"Hoff the Record","16+","7.0/10","43/100",1,0,1,0
"Larry Charles' Dangerous World of Comedy","18+","7.3/10","43/100",1,0,0,0
"Triad Princess","18+","6.9/10","43/100",1,0,0,0
"Get Organized with The Home Edit","","4.8/10","43/100",1,0,0,0
"Apaches","18+","7.0/10","43/100",1,0,0,0
"Social Distance","","5.7/10","42/100",1,0,0,0
"Followers","18+","6.2/10","42/100",1,0,0,0
"13 Reasons Why: Beyond the Reasons","18+","6.4/10","42/100",1,0,0,0
"One on One with Kirk Cameron","","4.2/10","42/100",1,0,0,0
"Marriage or Mortgage","","5.2/10","42/100",1,0,0,0
"Cupcake & Dino - General Services","7+","7.8/10","42/100",1,0,0,0
"Ice Fantasy","16+","7.1/10","42/100",1,0,0,0
"Revolutionary Love","7+","7.1/10","42/100",1,0,0,0
"Rica, Famosa, Latina","","5.7/10","42/100",1,1,0,0
"Sunny Bunnies","all","6.8/10","42/100",1,0,0,0
"Stretch Armstrong & the Flex Fighters","7+","6.5/10","42/100",1,0,0,0
"The Who Was? Show","","6.8/10","42/100",1,0,0,0
"The Wedding Coach","","4.9/10","42/100",1,0,0,0
"Oscar's Oasis","","7.5/10","42/100",1,0,0,0
"Simon","all","7.3/10","42/100",1,0,0,0
"72 Cutest Animals","","5.8/10","42/100",1,0,0,0
"Zig and Sharko","all","6.9/10","42/100",1,0,0,0
"Criminal: Germany","","","42/100",1,0,0,0
"Glitter Force Doki Doki","7+","","42/100",1,0,0,0
"The Octonauts","all","6.4/10","42/100",1,0,0,0
"Westside","16+","6.2/10","42/100",1,0,1,0
"Alien TV","7+","6.2/10","42/100",1,0,0,0
"My Perfect Landing","","6.3/10","42/100",1,0,0,0
"Love Daily","","6.1/10","42/100",1,0,0,0
"VeggieTales in the City","all","6.0/10","42/100",1,0,0,0
"Love O2O","16+","8.0/10","42/100",1,0,0,0
"Anitta: Made in Honório","","7.0/10","42/100",1,0,0,0
"Upin & Ipin","all","5.8/10","42/100",1,0,0,0
"Follow This","18+","4.9/10","42/100",1,0,0,0
"Agent","","7.2/10","42/100",1,0,0,0
"Garth Brooks: The Road I'm On","","7.4/10","42/100",1,0,0,0
"Living Undocumented","18+","6.6/10","42/100",1,0,0,0
"Fate/Extra Last Encore","18+","5.4/10","42/100",1,0,0,0
"Alphablocks","all","7.8/10","42/100",1,0,0,0
"Puerta 7","18+","5.7/10","42/100",1,0,0,0
"The Witcher: A Look Inside the Episodes","","7.1/10","42/100",1,0,0,0
"We Speak Dance","7+","7.6/10","42/100",1,0,0,0
"Racket Boys","16+","1.1/10","42/100",1,0,0,0
"Voices of Fire","","6.9/10","42/100",1,0,0,0
"Heidi","all","7.2/10","42/100",1,0,1,0
"The Many Faces of Ito","","6.4/10","42/100",1,0,0,0
"Centaurworld","7+","7.1/10","42/100",1,0,0,0
"Magmel of the Sea Blue","7+","6.2/10","41/100",1,0,0,0
"Serial Killer with Piers Morgan","","3.8/10","41/100",1,0,0,0
"The Legend of White Snake","all","7.7/10","41/100",1,0,0,0
"Pet Stars","","5.8/10","41/100",1,0,0,0
"Last Hope","16+","5.8/10","41/100",1,0,0,0
"Msameer","","8.5/10","41/100",1,0,0,0
"Nadiya Bakes","","7.1/10","41/100",1,0,0,0
"Conspiracy","","6.2/10","41/100",1,0,0,0
"Death by Magic","7+","6.1/10","41/100",1,0,0,0
"Welcome to the Family","16+","6.7/10","41/100",1,0,0,0
"Narcoworld: Dope Stories","","6.6/10","41/100",1,0,0,0
"Motown Magic","all","7.7/10","41/100",1,0,0,0
"Blazing Transfer Students","","7.3/10","41/100",1,0,0,0
"Almost Happy","","6.8/10","41/100",1,0,0,0
"Gormiti","7+","6.0/10","41/100",1,0,0,0
"We Are: The Brooklyn Saints","","6.5/10","41/100",1,0,0,0
"That's What Happened","","8.1/10","41/100",1,0,0,0
"Takki","all","7.1/10","41/100",1,0,0,0
"Lava Ka Dhaava","","6.1/10","41/100",1,0,0,0
"Angelina Ballerina: The Next Steps","all","4.9/10","41/100",1,0,0,0
"Z4","all","","41/100",1,0,0,0
"The Casketeers","16+","7.5/10","41/100",1,0,0,0
"Age of Rebellion","","8.6/10","41/100",1,0,0,0
"Spectros","18+","4.7/10","41/100",1,0,0,0
"Dear My Friends","","8.3/10","41/100",1,0,0,0
"Panda and Hedgehog","","6.3/10","41/100",1,0,0,0
"Black Hollywood: 'They've Gotta Have Us'","","7.6/10","41/100",1,0,0,0
"A Year In Space","","7.4/10","41/100",1,0,1,0
"My Runway","7+","6.4/10","41/100",1,0,0,0
"LEGO Marvel Avengers: Climate Conundrum","7+","7.0/10","41/100",1,0,0,0
"Cyborg 009: Call of Justice","","5.8/10","41/100",1,0,0,0
"Dave Chappelle: Equanimity & The Bird Revelation","","","41/100",1,0,0,0
"Check The Store Next Door: The Next Chapter","","7.9/10","41/100",1,0,0,0
"Somewhere Only We Know","","7.3/10","41/100",1,0,0,0
"The Haunted House","7+","8.4/10","40/100",1,0,0,0
"Oddbods (Shorts)","7+","6.4/10","40/100",1,0,0,0
"Tayo the Little Bus","","5.6/10","40/100",1,1,1,0
"Cleo & Cuquin","7+","8.0/10","40/100",1,0,0,0
"Inspector Gadget","all","4.6/10","40/100",1,0,0,1
"Let's Fight Ghost","","7.7/10","40/100",1,0,0,0
"Magic for Humans Spain","18+","6.4/10","40/100",1,0,0,0
"The Defected","","7.2/10","40/100",1,0,0,0
"The Qin Empire","7+","8.1/10","40/100",1,0,0,0
"Creator's File: GOLD","","6.5/10","40/100",1,0,0,0
"Fary: Hexagone","","6.5/10","40/100",1,0,0,0
"The Comedy Lineup","18+","5.9/10","40/100",1,0,0,0
"Back with the Ex","","6.2/10","40/100",1,0,0,0
"Charlie's Colorforms City","all","7.1/10","40/100",1,0,0,0
"Cloudy with a Chance of Meatballs","all","3.3/10","40/100",1,0,0,0
"Team Kaylie","","4.4/10","40/100",1,0,0,0
"Absurd Planet","7+","3.9/10","40/100",1,0,0,0
"Love, Now","","6.1/10","40/100",1,0,0,0
"Mighty Express","all","5.0/10","40/100",1,0,0,0
"Children of Adam","18+","7.9/10","40/100",1,0,0,0
"Nowhere Man","18+","5.6/10","40/100",1,0,0,0
"Office Girls","","6.9/10","40/100",1,0,0,0
"Club de Cuervos Presents: The Ballad of Hugo Sánchez","18+","6.5/10","40/100",1,0,0,0
"Mob Psycho 100","all","5.2/10","40/100",1,0,0,0
"White Nights","","7.0/10","40/100",1,1,0,0
"Lego Bionicle: The Journey to One","7+","5.5/10","40/100",1,0,0,0
"Back Street Girls: Goku Dolls","18+","6.7/10","40/100",1,0,0,0
"The Iliza Shlesinger Sketch Show","18+","5.0/10","40/100",1,0,0,0
"Becoming Champions","all","6.7/10","40/100",1,0,0,0
"Bakugan: Battle Planet","all","4.9/10","40/100",1,0,0,0
"Terrorism Close Calls","","5.2/10","40/100",1,0,0,0
"The Writer","7+","6.6/10","40/100",1,0,0,0
"Robot Trains","all","6.2/10","40/100",1,0,1,0
"Pororo the Little Penguin","all","6.0/10","40/100",1,1,1,0
"Unrequited Love","","7.3/10","40/100",1,0,0,0
"H2O - Abenteuer Meerjungfrau","7+","5.6/10","40/100",1,0,0,0
"Rea(l)ove","","6.7/10","40/100",1,0,0,0
"Scams","","6.3/10","40/100",1,0,0,0
"The Fierce Wife","16+","6.8/10","40/100",1,0,0,0
"Eugenie Nights - ليالي أوجيني","16+","7.4/10","40/100",1,0,0,0
"Tiny Creatures","7+","4.9/10","40/100",1,0,0,0
"A Taiwanese Tale of Two Cities","","6.5/10","40/100",1,0,0,0
"Tango","","7.2/10","40/100",1,0,0,0
"Standup and Away! with Brian Regan","16+","5.8/10","40/100",1,0,0,0
"Black Crows","18+","5.6/10","40/100",1,0,0,0
"Ainori Love Wagon: Asian Journey","","6.9/10","40/100",1,0,0,0
"Yummy Mummies","7+","4.1/10","40/100",1,0,0,0
"revisions","18+","6.0/10","40/100",1,0,0,0
"Green Door","18+","6.3/10","40/100",1,0,0,0
"Valentino","","5.5/10","40/100",1,0,0,0
"Move","","","40/100",1,0,0,0
"Million Dollar Beach House","18+","4.1/10","40/100",1,0,0,0
"I Hear You","all","7.8/10","40/100",1,0,0,0
"Booba Aventuras na Cozinha","","8.7/10","39/100",1,0,0,0
"Littlest Pet Shop: A World of Our Own","all","6.8/10","39/100",1,0,0,0
"Spy Kids: Mission Critical","all","4.9/10","39/100",1,0,0,0
"La Línea: Shadow of Narco","","6.4/10","39/100",1,0,0,0
"Dino Girl Gauko","7+","6.7/10","39/100",1,0,0,0
"Hasmukh","18+","5.3/10","39/100",1,0,0,0
"Here to Heart","7+","7.4/10","39/100",1,0,0,0
"Chosen","","5.5/10","39/100",1,0,1,0
"COMEDIANS of the world","","6.4/10","39/100",1,0,0,0
"The Good Bandit","18+","7.8/10","39/100",1,0,0,0
"Wait, My Youth","all","8.6/10","39/100",1,0,0,0
"Ask the Doctor","","6.6/10","39/100",1,0,0,0
"Locombianos","18+","3.6/10","39/100",1,0,0,0
"Robocar Poli","","6.7/10","39/100",1,0,0,0
"Rainbow Ruby","all","6.6/10","39/100",1,0,0,0
"Justin Time","all","6.7/10","39/100",1,0,0,0
"Fugitiva","18+","5.7/10","39/100",1,0,0,0
"Sing On!","","6.3/10","39/100",1,0,0,0
"Flinch","7+","4.3/10","39/100",1,0,0,0
"Larva","all","7.2/10","39/100",1,0,0,0
"Baby Ballroom","","7.8/10","39/100",1,0,0,0
"Akbar Birbal","","7.5/10","39/100",1,0,1,0
"StoryBots Super Songs","all","8.5/10","39/100",1,0,0,0
"Space Jungle","all","","39/100",1,0,0,0
"VeggieTales In The House","all","4.4/10","39/100",1,0,0,0
"LEGO Jurassic World: The Secret Exhibit","7+","6.3/10","39/100",1,0,0,0
"Strong","7+","7.5/10","39/100",1,0,0,0
"Legend Quest: Masters of Myth","","7.7/10","39/100",1,0,0,0
"Mighty Little Bheem: Kite Festival","","8.5/10","39/100",1,0,0,0
"The American Bible Challenge","all","6.4/10","39/100",1,0,0,0
"Breakout","","7.9/10","39/100",1,0,0,0
"GAME ON: A Comedy Crossover Event","all","5.7/10","39/100",1,0,0,0
"ID-0","16+","6.1/10","39/100",1,0,0,0
"Tijuana","16+","7.1/10","39/100",1,0,0,0
"Dinotrux: Supercharged","7+","7.2/10","39/100",1,0,0,0
"The Jungle Book","all","4.2/10","39/100",1,0,0,1
"My Dear Boy","","8.0/10","39/100",1,0,0,0
"Skin Decision: Before and After","","5.8/10","39/100",1,0,0,0
"Rhyme Time Town Singalongs","all","8.3/10","39/100",1,0,0,0
"Transformers: Rescue Bots Academy","all","6.6/10","39/100",1,0,0,0
"Noddy, Toyland Detective","all","6.2/10","39/100",1,0,0,0
"Ricky Zoom","all","6.5/10","39/100",1,0,0,0
"Popples","all","6.5/10","39/100",1,0,0,0
"Edgar Rice Burroughs' Tarzan and Jane","7+","4.8/10","39/100",1,0,0,0
"Chico Bon Bon: Monkey with a Tool Belt","all","6.3/10","39/100",1,0,0,0
"Inborn Pair","","6.9/10","38/100",1,0,0,0
"The Underclass","","6.2/10","38/100",1,0,0,0
"Boca Juniors Confidential","all","6.4/10","38/100",1,0,0,0
"ZOIDS WILD","7+","5.8/10","38/100",1,0,0,0
"Holiday Home Makeover with Mr. Christmas","all","5.7/10","38/100",1,0,0,0
"Nailed It! Mexico","all","6.1/10","38/100",1,0,0,0
"Cabins in the Wild with Dick Strawbridge","7+","6.8/10","38/100",1,0,0,0
"Best.Worst.Weekend.Ever.","7+","6.4/10","38/100",1,0,0,0
"Fangbone!","7+","5.7/10","38/100",1,0,0,0
"Wrong Kind of Black","","7.6/10","38/100",1,0,0,0
"Disappearance","","7.2/10","38/100",1,0,0,0
"I'm with the Band: Nasty Cherry","","6.7/10","38/100",1,0,0,0
"Pinky Malinky","7+","5.7/10","38/100",1,0,0,0
"The Crime","","6.2/10","38/100",1,0,0,0
"Tayee","","8.0/10","38/100",1,0,0,0
"Yanxi Palace: Princess Adventures","","5.8/10","38/100",1,0,0,0
"Extreme Engagement","18+","5.7/10","38/100",1,0,0,0
"Single Ladies Senior","","","38/100",1,0,0,0
"Deja Vu","","","38/100",1,0,0,0
"Care Bears and Cousins","all","6.8/10","38/100",1,0,0,0
"Graceful Friends","","6.7/10","38/100",1,0,0,0
"Spark","","7.0/10","38/100",1,0,0,0
"The Miracle","","6.5/10","38/100",1,0,0,0
"The In-Laws","13+","5.7/10","38/100",1,0,0,0
"Hong Kong West Side Stories","18+","7.3/10","38/100",1,0,0,0
"Life Plan A and B","7+","7.6/10","38/100",1,0,0,0
"Empire Games","7+","5.7/10","38/100",1,0,0,0
"Shrek's Swamp Stories","","6.6/10","38/100",1,0,0,0
"J-Style Trip","16+","5.4/10","37/100",1,0,0,0
"Camarón Revolution","","","37/100",1,0,0,0
"Block B - Under Arrest","","6.9/10","37/100",1,0,0,0
"Kong: King of the Apes","7+","5.8/10","37/100",1,0,0,0
"Fire Chasers","","6.6/10","37/100",1,0,0,0
"Word Party","all","5.9/10","37/100",1,0,0,0
"Power Players","7+","6.0/10","37/100",1,0,0,0
"Legend of Chu and Han","","8.0/10","37/100",1,0,0,0
"The Devil Punisher","","5.9/10","37/100",1,0,0,0
"The Outsiders","16+","7.4/10","37/100",1,0,0,0
"LEGO Elves","","6.7/10","37/100",1,0,0,0
"Memory Love","","7.8/10","37/100",1,0,0,0
"The Perfect Match","","7.5/10","37/100",1,0,0,0
"Nailed It! France","16+","6.4/10","37/100",1,0,0,0
"Love Family","","7.8/10","37/100",1,0,0,0
"Southern Survival","","5.7/10","37/100",1,0,0,0
"When I See You Again","","7.1/10","37/100",1,0,0,0
"Three Wives, One Husband","","6.5/10","37/100",1,0,0,0
"The Charming Stepmom","","","37/100",1,0,0,0
"Journey of an African Colony","","","37/100",1,0,0,0
"The Little Nyonya","","","37/100",1,0,0,0
"Richie Rich","all","3.3/10","37/100",1,0,0,0
"Justice","7+","5.2/10","37/100",1,0,0,0
"Bookmarks: Celebrating Black Voices","all","4.9/10","37/100",1,0,0,0
"Fifty","","8.3/10","37/100",1,0,0,0
"Masha's Tales","all","","37/100",1,0,0,0
"Hook","","6.7/10","37/100",1,0,0,0
"Pacto de Sangue","","6.9/10","37/100",1,0,0,0
"Pablo","","7.6/10","37/100",1,0,0,0
"Cairo Class","","","37/100",1,0,0,0
"What She Put on the Table","","","37/100",1,0,0,0
"The Land of Hypocrisy","","6.5/10","37/100",1,0,0,0
"Meet the Adebanjos","7+","7.6/10","37/100",1,0,0,0
"Inside the Freemasons","","5.4/10","36/100",1,0,0,0
"All About Love","","6.3/10","36/100",1,0,0,0
"Hyper Hardboiled Gourmet Report","","","36/100",1,0,0,0
"Rimba Racer","","8.2/10","36/100",1,0,0,0
"Murphy's Law of Love","","7.4/10","36/100",1,0,0,0
"Miss Culinary","","","36/100",1,0,0,0
"LEGO Friends: The Power of Friendship","7+","6.0/10","36/100",1,0,0,0
"A Thousand Goodnights","","","36/100",1,0,0,0
"Secreto bien guardado","","4.9/10","36/100",1,0,0,0
"The Unremarkable Juanquini","","4.4/10","36/100",1,0,0,0
"Felipe Esparza: Bad Decisions","","5.0/10","36/100",1,0,0,0
"True Tunes","all","8.0/10","36/100",1,0,0,0
"The Judgement","","7.1/10","36/100",1,0,0,0
"Dreamworks Spooky Stories","7+","6.7/10","36/100",1,0,0,0
"I Have a Script","7+","","36/100",1,0,0,0
"Little Baby Bum: Nursery Rhyme Friends","all","6.7/10","36/100",1,0,0,0
"28 Faces of the Moon","7+","5.5/10","36/100",1,0,0,0
"Harvey Street Kids","7+","6.6/10","36/100",1,0,0,0
"Buddi","all","6.9/10","36/100",1,0,0,0
"Edha","18+","4.8/10","36/100",1,0,0,0
"Eagle of Upper Egypt","all","","36/100",1,0,0,0
"Daughters of Destiny","","","36/100",1,0,0,0
"The Degenerates","18+","6.2/10","36/100",1,0,0,0
"Heidi, bienvenida a casa","","6.1/10","36/100",1,0,0,0
"Chasing Cameron","7+","3.7/10","36/100",1,0,0,0
"Country Ever After","","6.5/10","36/100",1,0,0,0
"Chip and Potato","all","6.2/10","36/100",1,0,0,0
"Lion Pride","","7.3/10","35/100",1,0,0,0
"YG Future Strategy Office","18+","7.0/10","35/100",1,0,0,0
"Love At Seventeen","","6.2/10","35/100",1,0,0,0
"The Could’ve-Gone-All-the-Way Committee","","6.8/10","35/100",1,0,0,0
"Diamond Lover","","6.3/10","35/100",1,0,0,0
"Kid-E-Cats","all","7.4/10","35/100",1,0,0,0
"Bo on the Go!","all","4.0/10","35/100",1,0,0,0
"Easy Fortune Happy Life","","5.6/10","35/100",1,0,0,0
"How to Live Mortgage Free with Sarah Beeny","","","35/100",1,0,0,0
"Bangkok Love Stories 2: Plead","","7.1/10","35/100",1,0,0,0
"21 Again","","4.8/10","35/100",1,0,0,0
"Monkey Twins","","7.9/10","35/100",1,0,0,0
"Cocaine","","7.1/10","35/100",1,0,0,0
"Love Around","","","35/100",1,0,0,0
"Тобот","7+","6.6/10","35/100",1,0,1,0
"Sing On! Spain","","6.2/10","35/100",1,0,0,0
"In The Bosom of a Thorn","16+","7.3/10","35/100",1,0,0,0
"Sammy & Co","","5.3/10","35/100",1,0,0,0
"Love and Hong Kong","","","35/100",1,0,0,0
"Nailed It! Germany","","5.8/10","35/100",1,0,0,0
"YooHoo to the Rescue","all","6.6/10","35/100",1,0,0,0
"Singles Villa","","7.6/10","35/100",1,0,0,0
"Ladies Up","","4.3/10","35/100",1,0,0,0
"Vai Anitta","","5.5/10","35/100",1,0,0,0
"Styling Hollywood","16+","7.3/10","35/100",1,0,0,0
"Trotro","all","6.0/10","35/100",1,0,0,0
"Masha's Spooky Stories","all","5.0/10","35/100",1,0,0,0
"The Goop Lab","18+","2.5/10","35/100",1,0,0,0
"Kulipari: An Army of Frogs","7+","7.0/10","35/100",1,0,0,0
"Angel 'N' Devil","","4.9/10","34/100",1,0,0,0
"Happy Jail","18+","8.0/10","34/100",1,0,0,0
"President","","7.2/10","34/100",1,0,0,0
"Luo Bao Bei","all","7.6/10","34/100",1,0,0,0
"Entangled","","6.9/10","34/100",1,0,0,0
"Lavender","16+","6.6/10","34/100",1,0,0,0
"Ojo's in d' House","","6.1/10","34/100",1,0,0,0
"Frank Elstner: Just One Last Question","","7.6/10","34/100",1,0,0,0
"Unriddle","","7.8/10","34/100",1,0,0,0
"KO One","7+","5.4/10","34/100",1,0,0,0
"Kulipari: Dream Walker","all","7.6/10","34/100",1,0,0,0
"La Ley secreta","","7.4/10","34/100",1,0,0,0
"Miniforce X","","4.3/10","34/100",1,0,1,0
"Candy Online","","5.3/10","34/100",1,0,0,0
"Oh Yuck!","","7.4/10","34/100",1,0,0,0
"K.O.3an Guo","16+","5.3/10","34/100",1,0,0,0
"Best Lover","","6.5/10","34/100",1,0,0,0
"Nasce Uma Rainha","","6.5/10","34/100",1,0,0,0
"Project S The Series","","","34/100",1,0,0,0
"DeMarcus Family Rules","","6.2/10","34/100",1,0,0,0
"Bhaag Beanie Bhaag","","3.8/10","34/100",1,0,0,0
"The Single Wives","","6.8/10","34/100",1,0,0,0
"Morphle","all","4.9/10","34/100",1,1,0,0
"Hello Ninja","all","6.6/10","34/100",1,0,0,0
"Tian Bao Fuyao Lu","","7.0/10","34/100",1,0,0,0
"Sakho & Mangane","","6.4/10","34/100",1,0,0,0
"Zona Rosa","","6.0/10","34/100",1,0,0,0
"Love Is In The Air","","","33/100",1,0,0,0
"Crazy, Lovely, Cool","","7.8/10","33/100",1,0,0,0
"See You in Time","","7.1/10","33/100",1,0,0,0
"The Ultimatum","","5.4/10","33/100",1,0,0,0
"Llama Llama","all","6.5/10","33/100",1,0,0,0
"Part-Time Idol","7+","7.0/10","33/100",1,0,0,0
"Color of Woman","","5.0/10","33/100",1,0,0,0
"Love Cheque Charge","","7.5/10","33/100",1,0,0,0
"My Dear Warrior","","3.9/10","33/100",1,0,0,0
"The Sound of Your Heart: Reboot","7+","5.9/10","33/100",1,0,0,0
"Ponysitters Club","all","7.1/10","33/100",1,0,0,0
"Bangkok รัก Stories 2 ตอน ไม่เดียงสา","","6.8/10","33/100",1,0,0,0
"The Truth Seekers","","7.1/10","33/100",1,0,0,0
"Love for Ten: Generation of Youth","","6.5/10","33/100",1,0,0,0
"Made in Mexico","","4.1/10","32/100",1,0,0,0
"Kongsuni and Friends","","4.4/10","32/100",1,0,0,0
"Love Storm","","3.3/10","32/100",1,0,0,0
"Sleepless Society NYCTOPHOBIA","","5.6/10","32/100",1,0,0,0
"Before 30","","8.1/10","32/100",1,0,0,0
"ARASHI's Diary -Voyage-","","7.4/10","32/100",1,0,0,0
"Afronta! Facing It!","","7.4/10","32/100",1,0,0,0
"Bottersnikes & Gumbles","7+","5.2/10","32/100",1,0,0,0
"Mighty Little Bheem: Diwali","","7.5/10","32/100",1,0,0,0
"On the Real","","8.3/10","32/100",1,0,1,0
"The 10 Sins","","6.9/10","32/100",1,0,0,0
"True: Terrific Tales","","5.5/10","32/100",1,0,0,0
"My MVP Valentine","","6.6/10","32/100",1,0,0,0
"Shopkins","all","3.8/10","32/100",1,0,0,0
"Sing On! Germany","","5.5/10","32/100",1,0,0,0
"Especial Futbol De Primera 20 Años","","7.0/10","31/100",1,0,0,0
"Dennis & Gnasher Unleashed!","all","7.4/10","31/100",1,0,0,0
"Luna Petunia Return to Amazia","all","4.8/10","31/100",1,0,0,0
"Luna Petunia","all","6.3/10","31/100",1,0,0,0
"Iron Ladies","","5.9/10","31/100",1,0,0,0
"Edge of the Universe","","","31/100",1,0,0,0
"The Dream Job","","6.1/10","31/100",1,0,0,0
"Happy And","16+","","31/100",1,0,0,0
"High Risk","","","31/100",1,0,1,0
"Treehouse Detectives","","7.1/10","31/100",1,0,0,0
"Jojo's World","","6.6/10","31/100",1,0,0,0
"Stay Tuned!","","8.0/10","31/100",1,0,0,0
"Borges Importadora","","6.0/10","31/100",1,0,0,0
"Jimmy: The True Story of a True Idiot","all","6.8/10","31/100",1,0,0,0
"Magic Cellphone","","3.9/10","31/100",1,0,0,0
"Against the Tide","","7.6/10","31/100",1,0,0,0
"Singapore Social","","5.1/10","31/100",1,0,0,0
"Jusqu'à l'Aube","18+","2.7/10","31/100",1,0,0,0
"At Dolphin Bay","","7.1/10","31/100",1,0,0,0
"行医","","8.2/10","31/100",1,0,0,0
"Way Back into Love","","6.6/10","31/100",1,0,0,0
"Immortal Classic","16+","","31/100",1,0,0,0
"Droppin' Cash: Los Angeles","16+","3.5/10","30/100",1,0,0,0
"Robozuna","7+","6.3/10","30/100",1,0,0,0
"Yours Fatefully","","6.6/10","30/100",1,0,0,0
"Lucky Days","7+","7.0/10","30/100",1,0,0,0
"Be with You","","7.1/10","30/100",1,0,0,0
"Stunt Science","18+","5.0/10","30/100",1,0,0,0
"Word Party Songs","","3.2/10","30/100",1,0,0,0
"Goodbye Dear Wife","","6.3/10","30/100",1,0,0,0
"天国的嫁衣","","6.2/10","30/100",1,0,0,0
"La Grande Chaumière Violette","","7.9/10","30/100",1,0,0,0
"No Time for Shame","","5.7/10","29/100",1,0,0,0
"Bangkok Buddies","all","6.8/10","29/100",1,0,0,0
"Nailed It! Spain","","5.5/10","29/100",1,0,0,0
"阳关道","","3.2/10","29/100",1,0,0,0
"Cocomong","","4.3/10","29/100",1,0,0,0
"Love Me Or Leave Me","","6.5/10","29/100",1,0,0,0
"The Year of Happiness and Love","7+","5.2/10","29/100",1,0,0,0
"Tjovitjo","","6.3/10","29/100",1,0,0,0
"Jumping Girl","","5.1/10","28/100",1,0,0,0
"Kibaoh Klashers","7+","6.3/10","27/100",1,0,0,0
"Chhota Bheem","","4.3/10","27/100",1,0,0,0
"Lugar de Mulher","","4.5/10","26/100",1,0,0,0
"CoComelon","","","25/100",1,1,0,0
"Game Winning Hit","","2.3/10","24/100",1,0,0,0
"La Esclava Blanca","","","24/100",1,0,0,0
